Array.html#method-i-dclone%%dclone (Array)
REXML/Functions.html#method-c-local_name%%local_name (REXML::Functions)
REXML/Functions.html#method-c-name%%name (REXML::Functions)
REXML/Functions.html#method-c-namespace_context-3D%%namespace_context= (REXML::Functions)
REXML/Functions.html#method-c-namespace_context%%namespace_context (REXML::Functions)
REXML/Functions.html#method-c-namespace_uri%%namespace_uri (REXML::Functions)
REXML/Functions.html#method-c-normalize_space%%normalize_space (REXML::Functions)
REXML/Functions.html#method-c-not%%not (REXML::Functions)
REXML/Functions.html#method-c-number%%number (REXML::Functions)
REXML/Functions.html#method-c-position%%position (REXML::Functions)
REXML/Functions.html#method-c-processing_instruction%%processing_instruction (REXML::Functions)
REXML/Functions.html#method-c-round%%round (REXML::Functions)
REXML/Functions.html#method-c-send%%send (REXML::Functions)
REXML/Functions.html#method-c-singleton_method_added%%singleton_method_added (REXML::Functions)
REXML/Functions.html#method-c-starts_with%%starts_with (REXML::Functions)
REXML/Functions.html#method-c-string_length%%string_length (REXML::Functions)
REXML/Functions.html#method-c-string%%string (REXML::Functions)
REXML/Functions.html#method-c-string_value%%string_value (REXML::Functions)
REXML/Functions.html#method-c-substring_after%%substring_after (REXML::Functions)
REXML/Functions.html#method-c-substring_before%%substring_before (REXML::Functions)
REXML/Functions.html#method-c-substring%%substring (REXML::Functions)
REXML/Functions.html#method-c-sum%%sum (REXML::Functions)
REXML/Functions.html#method-c-text%%text (REXML::Functions)
REXML/Functions.html#method-c-translate%%translate (REXML::Functions)
REXML/Functions.html#method-c-true%%true (REXML::Functions)
REXML/Functions.html#method-c-variables-3D%%variables= (REXML::Functions)
REXML/Functions.html#method-c-variables%%variables (REXML::Functions)
REXML/Instruction.html#method-c-new%%new (REXML::Instruction)
REXML/Instruction.html#method-i-3D-3D%%== (REXML::Instruction)
REXML/Instruction.html#method-i-clone%%clone (REXML::Instruction)
REXML/Instruction.html#method-i-inspect%%inspect (REXML::Instruction)
REXML/Instruction.html#method-i-node_type%%node_type (REXML::Instruction)
REXML/Instruction.html#method-i-write%%write (REXML::Instruction)
REXML/IOSource.html#method-c-new%%new (REXML::IOSource)
REXML/IOSource.html#method-i-consume%%consume (REXML::IOSource)
REXML/IOSource.html#method-i-current_line%%current_line (REXML::IOSource)
REXML/IOSource.html#method-i-empty-3F%%empty? (REXML::IOSource)
